Chapter number,Topic number,Paper number,Questions,Answers
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Name the five energy stores,"kinetic, gravitational potential, elastic potential, thermal, chemical"
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Name the four ways in which energy can be transferred.,"heating, waves, electric current, mechanically (by forces)"
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,What is a system?,an object or group of objects
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,What is a closed system?,a system where no energy can be transferred to or from the surroundings – the total energy in the system stays the same
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,What is work done?,energy transferred when a force moves an object
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,What is the unit for energy?,joules (J)
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,What is one joule of work?,the work done when a force of 1 N causes an object to move 1 m in the direction of the force
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Describe the energy transfer when a moving car slows down.,energy is transferred mechanically from the kinetic store of the car to the thermal store of its brakes. Some energy is dissipated to the thermal store of the surroundings
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Describe the energy transfer when an electric kettle is used to heat water.,the electric current in a kettle transfers energy to the heating element’s thermal store – energy is then transferred by heating from the heating element’s thermal store to the thermal store of the water
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Describe the energy transfer when a ball is fired using an elastic band.,energy is transferred mechanically from the elastic store of the elastic band to the kinetic store of the band – some energy is dissipated to the thermal store of the surroundings
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Describe the energy transfer when a battery powered toy car is used.,energy is transferred electrically from the chemical store of the battery to the kinetic store of the toy car – some energy is dissipated to the thermal store of the surroundings
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Describe the energy transfer when a falling apple hits the ground.,energy is transferred from the kinetic store of the apple and dissipated to the thermal store of the surroundings by sound waves
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,Name the unit that represents one joule transferred per second.,watt (W)
Chapter 1,Topic 1 - Energy 01 - Conservation energy,Paper 1,A motor is 30% efficient. What does that mean?,30% of the energy is usefully transferred and 70% is dissipated
Chapter 2,Topic 1 - Energy 02 - Energy transfer,Paper 1,What does a material’s thermal conductivity tell you?,how well it conducts heat
Chapter 2,Topic 1 - Energy 02 - Energy transfer,Paper 1,Which materials have low thermal conductivity?,thermal insulators
Chapter 2,Topic 1 - Energy 02 - Energy transfer,Paper 1,Give three factors that determine the rate of thermal energy transfer through a material.,"thermal conductivity of material, temperature difference, thickness of material"
Chapter 2,Topic 1 - Energy 02 - Energy transfer,Paper 1,What factors affect the rate of heat loss from a building?,"thickness of walls and roof, thermal conductivity of walls and roof, the temperature difference between the two sides of the wall/roof"
Chapter 2,Topic 1 - Energy 02 - Energy transfer,Paper 1,Define specific heat capacity.,amount of energy needed to raise the temperature of 1 kg of a material by 1 °C
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What is a non-renewable energy resource?,"will eventually run out, is not replaced at the same rate it is being used"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What is a renewable energy resource?,"will not run out, it is being (or can be) replaced at the same rate as which it is used"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main renewable and non-renewable resources available on Earth?,"renewable: solar, tidal, wave, wind, geothermal, biofuel, hydroelectric

non-renewable: coal, oil, gas, nuclear"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages of using coal as an energy resource?,"enough available to meet current demand, reliable, can control supply to match demand, cheap to extract and use"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using coal as an energy resource?,"will eventually run out, releases CO2 which contributes to climate change, releases sulfur dioxide which causes acid rain"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages of using nuclear fuel as an energy resource?,"lot of energy released from a small mass, reliable, can control supply to match demand, enough fuel available to meet current demand, no polluting gases"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using nuclear fuel as an energy resource?,"waste is dangerous and difficult and expensive to deal with, expensive initial set up, expensive to shut down and to run"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages of using solar energy?,"can be used in remote places, no polluting gases, no waste products, very low running cost"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using solar energy?,"unreliable, cannot control supply, initial set up expensive, cannot be used on a large scale"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages of using tidal power?,"no polluting gases, no waste products, reliable, can produce large amounts of electricity, low running cost, no fuel costs"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using tidal power?,"can harm marine habitats, initial set up expensive, cannot increase supply when needed, amount of energy varies on time of month, hazard for boats"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages of using wave turbines?,"no polluting gases produced, no waste products, low running cost, no fuel costs"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using wave turbines?,"unreliable, dependent on weather, cannot control supply, initial set up expensive, can harm marine habitats, hazard for boats, cannot be used on a large scale"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main disadvantages of using wind turbines?,"unreliable, dependent on weather, cannot control supply, take up lot of space, can produce noise pollution"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the advantages and the disadvantages of using geothermal energy?,"advantages: no polluting gases, low running cost

disadvantages: initial set up expensive, available in few locations"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages and disadvantages of using biofuels?,"advantages: can be ‘carbon neutral’, reliable

disadvantages: expensive to produce, use land/water that might be needed to grow food"
Chapter 3,Topic 1 - Energy 03 - Energy resources,Paper 1,What are the main advantages and disadvantages of using hydroelectric power?,"advantages: no polluting gases, no waste products, low running cost, no fuel cost, reliable, can be controlled to meet demand

disadvantages: initial set up expensive, dams can harm/destroy marine habitats"
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What is electric current?,rate of flow of charge
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,"What units are charge, current, and time measured in?","coulombs (C), amperes (A), seconds (s) respectively"
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What is the same at all points when charge flows in a closed loop?,current
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What must there be in a closed circuit so that electrical charge can flow?,source of potential difference (p.d.)
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,Which two factors does current depend on and what are their units?,"resistance in ohms (Ω), p.d. in volts (V)"
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What happens to the current if the resistance is increased but the p.d. stays the same?,current decreases
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What is an ohmic conductor?,conductor where current is directly proportional to the voltage so resistance is constant (at constant temperature)
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What happens to the resistance of a filament lamp as its temperature increases?,resistance increases
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What happens to the resistance of a thermistor as its temperature increases?,resistance decreases
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What happens to the resistance of a light-dependent resistor when light intensity increases?,resistance decreases
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What are the main features of a series circuit?,"same current through each component, total p.d. of power supply is shared between components, total resistance of all components is the sum of the resistance of each component"
Chapter 4,Topic 2 - Electricity 01 - Electric circuits,Paper 1,What are the main features of a parallel circuit?,"p.d. across each branch is the same, total current through circuit is the sum of the currents in each branch – total resistance of all resistors is less than the resistance of the smallest individual resistor"
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,Why is the current provided by a cell called a direct current (d.c.)?,only flows in one direction
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is an alternating current (a.c.)?,current that repeatedly reverses direction
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What kind of current is supplied by mains electricity?,alternating current
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is the frequency and voltage of mains electricity?,"50 Hz, 230 V"
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,"What colours are the live, neutral, and earth wires in a three-core cable?","live = brown, neutral = blue, earth = green and yellow stripes"
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is the function of the live wire in a three-core cable?,carries the alternating potential difference from the supply
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is the function of the neutral wire in a three-core cable?,completes the circuit
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is the function of the earth wire in a three-core cable?,safety wire to stop the appliance becoming live
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,When is there a current in the earth wire?,when there is a fault
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,Why is the live wire dangerous?,provides a large p.d. that would cause a large current to flow through a person if they touched it
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What is the National Grid?,nationwide network of cables and transformers that link power stations to customers
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What are step-up transformers used for in the National Grid?,increase the p.d. from the power station to the transmission cables
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What are step-down transformers used for in the National Grid?,decrease the p.d. from the transmission cables to the mains supply in buildings so that it is safe to use
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,How does having a large potential difference in the transmission cables help to make the National Grid an efficient way to transfer energy?,"large p.d. means a small current is needed to transfer the same amount of power, small current in the transmission cables means less electrical power is wasted due to heating"
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,What two things does energy transfer to an appliance depend on?,"power of appliance, time it is switched on for"
